"Title","URL","Resource type","Citation","Year","Number"
"TRADE POLICY ISSUES IN LATIN AMERICA AND THE CARIBBEAN: VIEWS FROM COUNTRY AUTHORITIES AND CURRENT STATE OF PLAY","https://www.imf.org/~/media/Files/Publications/CR/2017/cr1766-ap-1.ashx","IMF document","IMF","2017","1"
"TRADE POLICY ISSUES IN LATIN AMERICA AND THE CARIBBEAN: VIEWS FROM COUNTRY AUTHORITIES AND CURRENT STATE OF PLAY","https://www.imf.org/~/media/Files/Publications/CR/2017/cr1766-ap-1.ashx","IMF Report","IMF","2017","2"
"Adapting to Climate Change in Sub-Saharan Africa.","https://www.elibrary.imf.org/view/books/086/28915-9781513536835-en/ch02.xml","IMF Report","IMF","2020","1"
"Adapting to Climate Change in Sub-Saharan Africa","https://www.imf.org/-/media/Files/Publications/REO/AFR/2020/April/English/ch2.ashx","Report","IMF","2020","2"
"Food Inflation in Sub-Saharan Africa","https://blogs.imf.org/2021/12/06/food-inflation-in-sub-saharan-africa/","IMF Report","IMF","2021","1"
"F&D Special Feature: Africa at a Crossroads: Learning from the Past and Looking to the Future.","https://www.imf.org/en/Publications/fandd/issues/2021/12/Africa-Boosting-Climate-Responsiveness-SubSaharan-Public-Investment","Article","IMF","2021","2"
"India's Intended Nationally Determined Contribution","https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/India%20First/INDIA%20INDC%20TO%20UNFCCC.pdf","Report","INDC","2016","1"
"State Finances, A Study of Budgets of 2017-18 and 2018-19","https://smartnet.niua.org/sites/default/files/resources/0sf201718_full6ee17cfbd8004287a0cd4fdb0632afe8.pdf","Report","INDIA, R. B. O.","2018","1"
"Farm typology of smallholders integrated farming systems in Southern Coastal Plains of Kerala, India","https://doi.org/10.1038%2Fs41598-021-04148-0","Journal article","Innazent et a.l","2022","1"
"State Of Water Storage In African Cities: Assessing Constraints To Urban-water Harvesting In Sub-saharan Africa.","https://www.researchgate.net/publication/339241019_State_Of_Water_Storage_In_African_Cities_Assessing_Constraints_To_Urban-water_Harvesting_In_Sub-saharan_Africa","Journal","Innocent et al.","2020","1"
"Climate Change 2014: Impacts, Adaptation, and Vulnerability. Part A: Global and Sectoral Aspects","https://www.cambridge.org/core/books/climate-change-2014-impacts-adaptation-and-vulnerability-part-a-global-and-sectoral aspects/1BE4ED76F97CF3A75C64487E6274783A","Report","IPCC","2014","1"
"Climate change and land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems.",,"Report","IPCC","2019","1"
"Impact of conservation tillage in rice–based cropping systems on soil aggregation, carbon pools and nutrients.","https://www.sciencedirect.com/science/article/pii/S0016706118309212","Journal article","IPCC","2019","6"
"Sixth Assessment Report: Regional fact sheet - Asia","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Asia.pdf","Fact sheet","IPCC","2022","1"
"Regional fact sheet – Central and South America. Sixth Assessment Report.","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Central_and_South_America.pdf","Factsheet","IPCC","2022","2"
"Fact sheet -Central and South America. Climate change impacts and risks","https://report.ipcc.ch/ar6wg2/pdf/IPCC_AR6_WGII_FactSheet_CentralSouthAmerica.pdf","Factsheet","IPCC","2022","3"
"Fact sheet - Central and South America: Climate Change Impacts and Risks","https://www.ipcc.ch/report/ar6/wg2/downloads/outreach/IPCC_AR6_WGII_FactSheet_CentralSouthAmerica.pdf","Fact sheet","IPCC","2022","4"
"Regional fact sheet: Africa. Sixth Assessment Report.","https://www.ipcc.ch/report/ar6/wg1/downloads/factsheets/IPCC_AR6_WGI_Regional_Fact_Sheet_Africa.pdf","Factsheet","IPCC","2022","5"
"Fact sheet -Africa: Climate Change Impacts and Risks","https://report.ipcc.ch/ar6wg2/pdf/IPCC_AR6_WGII_FactSheet_Africa.pdf","Fact sheet","IPCC","2022","7"
"What’s in it for Africa?","https://cdkn.org/sites/default/files/files/AR5_IPCC_Whats_in_it_for_Africa.pdf","Report","IPCC","2022","8"
"Climate Change Impacts and Risks","https://www.ipcc.ch/report/ar6/wg2/downloads/outreach/IPCC_AR6_WGII_FactSheet_Africa.pdf","Fact sheet","IPCCC","2022","1"
"Impacts of Climate Change on Fisheries in the Coastal and Marine Environments of Caribbean Small Island Developing States (SIDS)","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/605077/10._Fisheries_combined.pdf","Caribbean Marine climate change report card: science review","Iris and Hazel","2017","1"
"Poor seed quality","http://www.knowledgebank.irri.org/decision-tools/rice-doctor/rice-doctor-fact-sheets/item/poor-seed-quality","Fact sheet","IRRI, n.d.","n.d.","1"
"CONFLICT PREVENTION :What does UNDP do for Conflict Prevention in Latin America and the Caribbean?","https://www1.undp.org/content/dam/rblac/docs/Research%20and%20Publications/Crisis%20Prevention%20and%20Recovery/Brochure_Conflicts_english.pdf","UNDP Report","Isaacs","2014","1"
"Sub-Saharan Africa: Effects of Infrastructure Conditions on Export Competitiveness, Third Annual Report.","https://www.usitc.gov/publications/332/pub4071.pdf","Book","Jabara et al.","2009","1"
"Building Capacity for Climate Change Mitigation and Adaptation Through Mainstreaming Climate Change in Curricula of Tertiary Training Institutions in Africa.","https://www.researchgate.net/publication/317414500_Building_Capacity_for_Climate_Change_Mitigation_and_Adaptation_Through_Mainstreaming_Climate_Change_in_Curricula_of_Tertiary_Training_Institutions_in_Africa","Journal","Jackson et al.","2017","1"
"Crop-specific exposure to extreme temperature and moisture for the globe for the last half century","https://iopscience.iop.org/article/10.1088/1748-9326/abf8e0","Journal","Jackson et al.","2021","1"
"Climate-informed priorities for One CGIAR Regional Integrated Initiatives","Climate-informed priorities for One CGIAR Regional Integrated Initiatives","CGIAR Report","Jarvis et al.","2021","1"
"Agricultural Productivity Growth, Resilience, and Economic Transformation in Sub-Saharan Africa IMPLICATIONS FOR USAID","https://www.usaid.gov/sites/default/files/documents/BIFAD_Agricultural_Productivity_Growth_Resilience_and_Economic_Transformation_in_SSA_Final_Report_4.20.21_2_2.pdf","Report","JAYNE et al.","2021","1"
"How Widespread Deforestation In Africa Risks Our Climate Future","https://www.greenpeace.org/africa/en/blogs/49073/how-widespread-deforestation-in-africa-risks-our-climate-future/","Report","Joan","2021","1"
"Food in an uncertain future: the impacts of climate change on food security and nutrition in the Middle East and North Africa.","https://www.preventionweb.net/files/46974_46974odiwfpimpactofcconfnsinmena201.pdf","Report","Jobbins and Henley","2015","1"
"Rice production constraints and ‘new’ challenges for South Asian smallholders: insights into de facto research priorities","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/2048-7010-3-18","Journal article","John and Fielding","2014","1"
"On-farm adoption of irrigation technologies in two irrigated valleys in Central Chile: The effect of relative abundance of water resources","https://www.sciencedirect.com/science/article/abs/pii/S0378377419320244
","Journal article","Jordan and Speelman","2020","1"
"TECHNOLOGY for CLIMATE ACTION in LATIN AMERICA and THE CARIBBEAN: How ICT and Mobile Solutions Contribute toa Sustainable,Low-Carbon Future","https://www.gsma.com/latinamerica/wp-content/uploads/2018/06/Technology-for-Climate-Action-in-Latin-America-and-the-Caribbean.pdf","IDB document","Jorisch et al.","2018","1"
"Economic Growth and Sustainable Development in the Pacific Island Countries.","https://www.adb.org/publications/economic-growth-and-sustainable-development-pacific-island-countries","ADB Policy Brief","Juswanto and Zulfiqar","2016","1"
"How do agro-pastoralists cope with climate change? The case of the Nyangatom in the Lower Omo Valley of Ethiopia","https://doi.org/10.1016/j.jaridenv.2021.104485","Journal article","Kabede et al.","2021","1"
"Sendai Framework Implementation – A Regional Assessment of Wildfires in West Africa","https://www.preventionweb.net/files/65783_f204amoskabobahsendaiframeworkimple.pdf","Report","Kabo-bah et al.","2020","1"
"Freshwater Resources in the MENA Region: Risks and Opportunities","https://www.mei.edu/publications/freshwater-resources-mena-region-risks-and-opportunities","Article","Kandeel","2019","1"
"Dry bean production guide","https://www.ag.ndsu.edu/publications/crops/dry-bean-production-guide","Report","Kandel and Endres","2019","1"
"Climate change and variability in the Sahel region: impacts and adaptation strategies in the agricultural sector","http://apps.worldagroforestry.org/downloads/Publications/PDFS/B14549.pdf","Report","Kandji et al.","2006","1"
"Future rice farming threatened by drought in the Lower Mekong Basin","https://rdcu.be/cWZ40","Journal article","Kang et al.","2021","1"
"Adaptation of Small-Scale Tea and Coffee Farmers in Kenya to Climate Change","https://link.springer.com/chapter/10.1007/978-3-030-45106-6_70","Book chapter","Karuri et al.","2021","1"
"Price Transmission for Agricultural Commodities in Uganda: An Empirical Vector Autoregressive Analysis","https://www.researchgate.net/publication/254384650_Price_Transmission_to_Ugandan_Coffee_Growers_in_a_Liberalized_Market/citations","IFPRI working paper","Kaspersen and Foyn","2010","1"
"First adaptation of quinoa in the Bhutanese mountain agriculture systems.","https://doi.org/10.1371/journal.pone.0219804","Journal","Katwal and Bazile","2020","1"
"Crop diversification analysis amongst smallholder farmers in Kenya(empirical evidence from Kamariny ward, Elgeyo Marakwet County)","https://www.tandfonline.com/doi/full/10.1080/23311932.2020.1834669","Journal article","Kemboi et al.","2020","1"
"Achieving food security for one million sub-Saharan African poor through push–pull innovation by 2020","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3928888/","Journal","Khan et al.","2014","1"
"Post-Harvest Losses and Strategies To Reduce Them","https://www.actioncontrelafaim.org/wp-content/uploads/2018/01/technical_paper_phl__.pdf","Technical Paper","Kiaya","2014","1"
"Climate Change Impacts on Wetlands of Bangladesh, its Biodiversity and Ecology, and Actions and Programs to Reduce Risks.","https://www.researchgate.net/publication/316315104_Climate_Change_Impacts_on_Wetlands_of_Bangladesh_its_Biodiversity_and_Ecology_and_Actions_and_Programs_to_Reduce_Risks","Journal article","Kibria and Haroon","2017","1"
"Commodity prices crash hits Africa","https://www.un.org/africarenewal/magazine/december-2016-march-2017/commodity-prices-crash-hits-africa","Report","Kingsley","2017","1"
"Innovation, pastoralism and climate change in Africa’s drylands","https://climatechangenews.com/2022/01/31/innovation-pastoralism-climate-change-africas-drylands/","Web article","Kirby","2022","1"
"RURAL DEVELOPMENT IN SUB-SAHARAN AFRICA","https://www.kit.nl/wp-content/uploads/2018/08/907_Bull370-web.pdf","Report","KIT","2018","1"
"Climate change impacts on crop productivity in Africa and South Asia","https://iopscience.iop.org/article/10.1088/1748-9326/7/3/034032/pdf","Journal article","Knox et al.","2012","1"
"A Review of Climate-Smart Agriculture Technology Adoption
by Farming Households in Sub-Saharan Africa.","https://www.mdpi.com/2071-1050/13/21/12130/pdf?version=1636422669","Journal Article","Kombat et al.","2021","1"
"Climate change effects on rice, weeds and weed management in the Asian-Pacific region","https://www.researchgate.net/publication/320427368_Climate_Change_Effects_on_Rice_Weeds_And_Weed_Management_In_Asian-Pacific_Region","Book","Korres et al.","2017","1"
"Regional Consequences of Seawater Intrusion on Rice Productivity and Land Use in Coastal Area of the Mekong River Delta","https://www.researchgate.net/publication/234054189_Regional_Consequences_of_Seawater_Intrusion_on_Rice_Productivity_and_Land_Use_in_Coastal_Area_of_the_Mekong_River_Delta","Journal article","Kotera et al.","2008","1"
"Conservation Agriculture Benefits Indian Farmers, but Technology Targeting Needed for Greater Impacts","https://www.frontiersin.org/articles/10.3389/fagro.2022.772732/full","Journal article","Krishna et al.","2022","1"
"The impact of climate change on Yam (Dioscorea alata) yield in the savanna zone of West Africa","https://doi.org/10.1016/j.agee.2012.03.004","Journal article","Kumar et al.","2012","1"
"South Asian Agroforestry: Traditions, Transformations, and Prospects","https://www.researchgate.net/publication/257364424_South_Asian_Agroforestry_Traditions_Transformations_and_Prospects","Journal","Kumar et al.","2012","2"
"Reducing Postharvest Losses during Storage of Grain Crops to Strengthen Food Security in Developing Countries","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5296677/","Journal article","Kumar et al.","2017","1"
"Challenges and opportunities in productivity and sustainability of rice cultivation system: a critical review in Indian perspective","https://link.springer.com/article/10.1007/s42976-021-00214-5","Journal article","Kumar et al.","2021","1"
